date,name,close
2025-02-24,文化創意業,309.96
2025-02-24,櫃買公司治理指數,213.56
2025-02-24,櫃買指數,264.03
2025-02-24,櫃買薪酬指數,145.24
2025-02-24,生技醫療,176.94
2025-02-24,紡織纖維,133.05
2025-02-24,綠能環保,105.56
2025-02-24,臺灣上櫃永續指數,7729.63
2025-02-24,航運業,192.8
2025-02-24,觀光餐旅,92.55
2025-02-24,資訊服務業,226.01
2025-02-24,通信網路業,168.69
2025-02-24,鋼鐵工業,178.81
2025-02-24,電子工業,428.73
2025-02-24,電子通路業,124.86
2025-02-24,電子零組件業,132.77
2025-02-24,電機機械,219.77
2025-02-24,電腦及週邊設備業,139.9
2025-02-24,高殖利率指數,227.23
2025-02-25,Quality 50指數,9935.53
2025-02-25,TPEx FactSet半導體氣候韌性指數,7369.31
2025-02-25,TPEx FactSet氣候韌性指數,7200.99
2025-02-25,上櫃ESG 30指數,6715.0
2025-02-25,光電業,81.68
2025-02-25,其他,174.0
2025-02-25,其他電子業,273.2
2025-02-25,勞工就業88指數,200.62
2025-02-25,化學工業,164.7
2025-02-25,半導體業,119.03
2025-02-25,富櫃200指數,10276.5
2025-02-25,富櫃50指數,293.14
2025-02-25,居家生活,93.24
2025-02-25,建材營造,289.69
2025-02-25,數位雲端,108.94
2025-02-25,文化創意業,312.11
2025-02-25,櫃買公司治理指數,213.47
2025-02-25,櫃買指數,262.51
2025-02-25,櫃買薪酬指數,144.4
2025-02-25,生技醫療,175.91
2025-02-25,紡織纖維,133.06
2025-02-25,綠能環保,104.72
2025-02-25,臺灣上櫃永續指數,7658.62
2025-02-25,航運業,195.18
2025-02-25,觀光餐旅,92.33
2025-02-25,資訊服務業,223.54
2025-02-25,通信網路業,165.99
2025-02-25,鋼鐵工業,179.98
2025-02-25,電子工業,425.11
2025-02-25,電子通路業,123.69
2025-02-25,電子零組件業,131.41
2025-02-25,電機機械,219.17
2025-02-25,電腦及週邊設備業,138.55
2025-02-25,高殖利率指數,227.55
2025-02-26,Quality 50指數,9950.14
2025-02-26,TPEx FactSet半導體氣候韌性指數,7322.64
2025-02-26,TPEx FactSet氣候韌性指數,7188.22
2025-02-26,上櫃ESG 30指數,6703.8
2025-02-26,光電業,82.29
2025-02-26,其他,173.64
2025-02-26,其他電子業,274.92
2025-02-26,勞工就業88指數,200.2
2025-02-26,化學工業,162.63
2025-02-26,半導體業,117.99
2025-02-26,富櫃200指數,10259.6
2025-02-26,富櫃50指數,292.55
2025-02-26,居家生活,93.79
2025-02-26,建材營造,285.85
2025-02-26,數位雲端,109.06
2025-02-26,文化創意業,311.17
2025-02-26,櫃買公司治理指數,212.96
2025-02-26,櫃買指數,262.22
2025-02-26,櫃買薪酬指數,144.13
2025-02-26,生技醫療,175.64
2025-02-26,紡織纖維,133.79
2025-02-26,綠能環保,104.96
2025-02-26,臺灣上櫃永續指數,7658.08
2025-02-26,航運業,194.6
2025-02-26,觀光餐旅,93.32
2025-02-26,資訊服務業,224.36
2025-02-26,通信網路業,165.84
2025-02-26,鋼鐵工業,179.18
2025-02-26,電子工業,424.84
2025-02-26,電子通路業,120.05
2025-02-26,電子零組件業,132.71
2025-02-26,電機機械,219.22
2025-02-26,電腦及週邊設備業,139.92
2025-02-26,高殖利率指數,226.53
2025-02-27,Quality 50指數,9877.1
2025-02-27,TPEx FactSet半導體氣候韌性指數,7214.48
2025-02-27,TPEx FactSet氣候韌性指數,7117.58
2025-02-27,上櫃ESG 30指數,6628.04
2025-02-27,光電業,81.33
2025-02-27,其他,173.81
2025-02-27,其他電子業,272.39
2025-02-27,勞工就業88指數,199.11
2025-02-27,化學工業,164.99
2025-02-27,半導體業,116.65
2025-02-27,富櫃200指數,10161.39
2025-02-27,富櫃50指數,290.56
2025-02-27,居家生活,93.52
2025-02-27,建材營造,285.6
2025-02-27,數位雲端,107.8
2025-02-27,文化創意業,314.17
2025-02-27,櫃買公司治理指數,212.16
2025-02-27,櫃買指數,259.92
2025-02-27,櫃買薪酬指數,142.97
2025-02-27,生技醫療,174.03
2025-02-27,紡織纖維,133.01
2025-02-27,綠能環保,104.99
2025-02-27,臺灣上櫃永續指數,7565.86
2025-02-27,航運業,195.89
2025-02-27,觀光餐旅,92.97
2025-02-27,資訊服務業,222.29
2025-02-27,通信網路業,162.67
2025-02-27,鋼鐵工業,178.75
2025-02-27,電子工業,419.53
2025-02-27,電子通路業,118.53
2025-02-27,電子零組件業,131.49
2025-02-27,電機機械,217.72
2025-02-27,電腦及週邊設備業,136.8
2025-02-27,高殖利率指數,225.5
2025-03-03,Quality 50指數,9705.52
2025-03-03,TPEx FactSet半導體氣候韌性指數,7008.4
2025-03-03,TPEx FactSet氣候韌性指數,6992.83
2025-03-03,上櫃ESG 30指數,6545.41
2025-03-03,光電業,82.27
2025-03-03,其他,172.58
2025-03-03,其他電子業,263.77
2025-03-03,勞工就業88指數,196.63
2025-03-03,化學工業,162.34
2025-03-03,半導體業,113.95
2025-03-03,富櫃200指數,9978.66
2025-03-03,富櫃50指數,285.25
2025-03-03,居家生活,94.07
2025-03-03,建材營造,284.74
2025-03-03,數位雲端,106.66
2025-03-03,文化創意業,303.85
2025-03-03,櫃買公司治理指數,209.89
2025-03-03,櫃買指數,256.01
2025-03-03,櫃買薪酬指數,140.5
2025-03-03,生技醫療,173.41
2025-03-03,紡織纖維,133.47
2025-03-03,綠能環保,105.07
2025-03-03,臺灣上櫃永續指數,7506.02
2025-03-03,航運業,196.11
2025-03-03,觀光餐旅,92.65
2025-03-03,資訊服務業,218.12
2025-03-03,通信網路業,159.01
2025-03-03,鋼鐵工業,177.26
2025-03-03,電子工業,411.97
2025-03-03,電子通路業,114.77
2025-03-03,電子零組件業,129.34
2025-03-03,電機機械,213.88
2025-03-03,電腦及週邊設備業,134.67
2025-03-03,高殖利率指數,221.12
2025-03-04,Quality 50指數,9661.03
2025-03-04,TPEx FactSet半導體氣候韌性指數,6992.55
2025-03-04,TPEx FactSet氣候韌性指數,7011.24
2025-03-04,上櫃ESG 30指數,6583.2
2025-03-04,光電業,82.17
2025-03-04,其他,173.02
2025-03-04,其他電子業,267.36
2025-03-04,勞工就業88指數,197.06
2025-03-04,化學工業,166.26
2025-03-04,半導體業,113.81
2025-03-04,富櫃200指數,10005.7
2025-03-04,富櫃50指數,284.72
2025-03-04,居家生活,94.66
2025-03-04,建材營造,284.74
2025-03-04,數位雲端,107.24
2025-03-04,文化創意業,299.82
2025-03-04,櫃買公司治理指數,209.0
2025-03-04,櫃買指數,256.89
2025-03-04,櫃買薪酬指數,140.25
2025-03-04,生技醫療,174.29
2025-03-04,紡織纖維,133.82
2025-03-04,綠能環保,105.0
2025-03-04,臺灣上櫃永續指數,7520.87
2025-03-04,航運業,197.96
2025-03-04,觀光餐旅,93.16
2025-03-04,資訊服務業,220.58
2025-03-04,通信網路業,160.59
2025-03-04,鋼鐵工業,177.39
2025-03-04,電子工業,413.78
2025-03-04,電子通路業,117.26
2025-03-04,電子零組件業,130.77
2025-03-04,電機機械,215.19
2025-03-04,電腦及週邊設備業,136.48
2025-03-04,高殖利率指數,221.96
2025-03-05,Quality 50指數,9854.99
2025-03-05,TPEx FactSet半導體氣候韌性指數,7201.16
2025-03-05,TPEx FactSet氣候韌性指數,7121.03
2025-03-05,上櫃ESG 30指數,6663.49
2025-03-05,光電業,82.84
2025-03-05,其他,175.07
2025-03-05,其他電子業,266.27
2025-03-05,勞工就業88指數,200.68
2025-03-05,化學工業,165.43
2025-03-05,半導體業,116.79
2025-03-05,富櫃200指數,10158.62
2025-03-05,富櫃50指數,290.22
2025-03-05,居家生活,94.24
2025-03-05,建材營造,284.11
2025-03-05,數位雲端,108.23
2025-03-05,文化創意業,309.48
2025-03-05,櫃買公司治理指數,213.48
2025-03-05,櫃買指數,259.99
2025-03-05,櫃買薪酬指數,142.98
2025-03-05,生技醫療,174.97
2025-03-05,紡織纖維,134.04
2025-03-05,綠能環保,105.47
2025-03-05,臺灣上櫃永續指數,7647.0
2025-03-05,航運業,198.9
2025-03-05,觀光餐旅,93.34
2025-03-05,資訊服務業,220.96
2025-03-05,通信網路業,161.83
2025-03-05,鋼鐵工業,178.31
2025-03-05,電子工業,419.72
2025-03-05,電子通路業,116.07
2025-03-05,電子零組件業,131.57
2025-03-05,電機機械,216.62
2025-03-05,電腦及週邊設備業,137.57
2025-03-05,高殖利率指數,226.25
2025-03-06,Quality 50指數,9981.4
2025-03-06,TPEx FactSet半導體氣候韌性指數,7162.73
2025-03-06,TPEx FactSet氣候韌性指數,7143.51
2025-03-06,上櫃ESG 30指數,6705.17
2025-03-06,光電業,85.74
2025-03-06,其他,175.46
2025-03-06,其他電子業,265.43
2025-03-06,勞工就業88指數,202.73
2025-03-06,化學工業,164.51
2025-03-06,半導體業,116.14
2025-03-06,富櫃200指數,10194.28
2025-03-06,富櫃50指數,291.89
2025-03-06,居家生活,95.26
2025-03-06,建材營造,283.29
2025-03-06,數位雲端,107.91
2025-03-06,文化創意業,317.11
2025-03-06,櫃買公司治理指數,215.64
2025-03-06,櫃買指數,260.31
2025-03-06,櫃買薪酬指數,143.97
2025-03-06,生技醫療,174.07
2025-03-06,紡織纖維,133.46
2025-03-06,綠能環保,105.17
2025-03-06,臺灣上櫃永續指數,7705.83
2025-03-06,航運業,196.97
2025-03-06,觀光餐旅,94.0
2025-03-06,資訊服務業,220.27
2025-03-06,通信網路業,162.22
2025-03-06,鋼鐵工業,179.03
2025-03-06,電子工業,420.04
2025-03-06,電子通路業,114.03
2025-03-06,電子零組件業,131.07
2025-03-06,電機機械,214.27
2025-03-06,電腦及週邊設備業,137.07
2025-03-06,高殖利率指數,227.02
2025-03-07,Quality 50指數,9771.82
2025-03-07,TPEx FactSet半導體氣候韌性指數,7010.42
2025-03-07,TPEx FactSet氣候韌性指數,7046.65
2025-03-07,上櫃ESG 30指數,6671.49
2025-03-07,光電業,86.55
2025-03-07,其他,173.72
2025-03-07,其他電子業,260.81
2025-03-07,勞工就業88指數,200.8
2025-03-07,化學工業,161.84
2025-03-07,半導體業,114.45
2025-03-07,富櫃200指數,10049.24
2025-03-07,富櫃50指數,287.68
2025-03-07,居家生活,94.64
2025-03-07,建材營造,281.82
2025-03-07,數位雲端,107.44
2025-03-07,文化創意業,300.31
2025-03-07,櫃買公司治理指數,213.31
2025-03-07,櫃買指數,257.23
2025-03-07,櫃買薪酬指數,142.07
2025-03-07,生技醫療,173.42
2025-03-07,紡織纖維,132.86
2025-03-07,綠能環保,104.46
2025-03-07,臺灣上櫃永續指數,7658.86
2025-03-07,航運業,197.36
2025-03-07,觀光餐旅,93.67
2025-03-07,資訊服務業,216.64
2025-03-07,通信網路業,159.53
2025-03-07,鋼鐵工業,179.15
2025-03-07,電子工業,415.35
2025-03-07,電子通路業,114.41
2025-03-07,電子零組件業,128.95
2025-03-07,電機機械,211.99
2025-03-07,電腦及週邊設備業,136.21
2025-03-07,高殖利率指數,223.51
2025-03-10,Quality 50指數,9574.09
2025-03-10,TPEx FactSet半導體氣候韌性指數,6978.54
2025-03-10,TPEx FactSet氣候韌性指數,6991.92
2025-03-10,上櫃ESG 30指數,6592.2
2025-03-10,光電業,82.65
2025-03-10,其他,173.05
2025-03-10,其他電子業,261.03
2025-03-10,勞工就業88指數,198.79
2025-03-10,化學工業,158.86
2025-03-10,半導體業,114.27
2025-03-10,富櫃200指數,9956.77
2025-03-10,富櫃50指數,284.41
2025-03-10,居家生活,95.12
2025-03-10,建材營造,279.83
2025-03-10,數位雲端,106.54
2025-03-10,文化創意業,296.25
2025-03-10,櫃買公司治理指數,210.79
2025-03-10,櫃買指數,255.29
2025-03-10,櫃買薪酬指數,140.8
2025-03-10,生技醫療,175.06
2025-03-10,紡織纖維,132.98
2025-03-10,綠能環保,104.8
2025-03-10,臺灣上櫃永續指數,7516.74
2025-03-10,航運業,197.42
2025-03-10,觀光餐旅,93.12
2025-03-10,資訊服務業,216.38
2025-03-10,通信網路業,154.9
2025-03-10,鋼鐵工業,177.54
2025-03-10,電子工業,411.07
2025-03-10,電子通路業,114.21
2025-03-10,電子零組件業,128.31
2025-03-10,電機機械,211.01
2025-03-10,電腦及週邊設備業,135.13
2025-03-10,高殖利率指數,223.47
2025-03-11,Quality 50指數,9418.05
2025-03-11,TPEx FactSet半導體氣候韌性指數,6836.15
2025-03-11,TPEx FactSet氣候韌性指數,6877.48
2025-03-11,上櫃ESG 30指數,6491.55
2025-03-11,光電業,82.04
2025-03-11,其他,171.98
2025-03-11,其他電子業,255.42
2025-03-11,勞工就業88指數,195.62
2025-03-11,化學工業,155.13
2025-03-11,半導體業,111.8
2025-03-11,富櫃200指數,9786.25
2025-03-11,富櫃50指數,279.08
2025-03-11,居家生活,94.72
2025-03-11,建材營造,275.96
2025-03-11,數位雲端,104.42
2025-03-11,文化創意業,288.14
2025-03-11,櫃買公司治理指數,207.58
2025-03-11,櫃買指數,251.52
2025-03-11,櫃買薪酬指數,138.29
2025-03-11,生技醫療,173.55
2025-03-11,紡織纖維,131.15
2025-03-11,綠能環保,104.18
2025-03-11,臺灣上櫃永續指數,7442.71
2025-03-11,航運業,196.66
2025-03-11,觀光餐旅,91.0
2025-03-11,資訊服務業,213.31
2025-03-11,通信網路業,151.21
2025-03-11,鋼鐵工業,176.85
2025-03-11,電子工業,404.39
2025-03-11,電子通路業,113.61
2025-03-11,電子零組件業,127.37
2025-03-11,電機機械,208.39
2025-03-11,電腦及週邊設備業,134.77
2025-03-11,高殖利率指數,219.87
2025-03-12,Quality 50指數,9332.47
2025-03-12,TPEx FactSet半導體氣候韌性指數,6831.52
2025-03-12,TPEx FactSet氣候韌性指數,6878.63
2025-03-12,上櫃ESG 30指數,6534.86
2025-03-12,光電業,82.28
2025-03-12,其他,174.41
2025-03-12,其他電子業,257.8
2025-03-12,勞工就業88指數,196.81
2025-03-12,化學工業,155.36
2025-03-12,半導體業,112.1
2025-03-12,富櫃200指數,9786.15
2025-03-12,富櫃50指數,278.39
2025-03-12,居家生活,96.4
2025-03-12,建材營造,272.03
2025-03-12,數位雲端,104.81
2025-03-12,文化創意業,280.62
2025-03-12,櫃買公司治理指數,208.22
2025-03-12,櫃買指數,252.11
2025-03-12,櫃買薪酬指數,138.41
2025-03-12,生技醫療,173.26
2025-03-12,紡織纖維,131.97
2025-03-12,綠能環保,103.37
2025-03-12,臺灣上櫃永續指數,7474.51
2025-03-12,航運業,193.55
2025-03-12,觀光餐旅,91.61
2025-03-12,資訊服務業,214.5
2025-03-12,通信網路業,152.29
2025-03-12,鋼鐵工業,177.72
2025-03-12,電子工業,406.4
2025-03-12,電子通路業,115.01
2025-03-12,電子零組件業,128.08
2025-03-12,電機機械,209.58
2025-03-12,電腦及週邊設備業,136.32
2025-03-12,高殖利率指數,220.46
2025-03-13,Quality 50指數,9278.47
2025-03-13,TPEx FactSet半導體氣候韌性指數,6780.32
2025-03-13,TPEx FactSet氣候韌性指數,6813.17
2025-03-13,上櫃ESG 30指數,6481.85
2025-03-13,光電業,80.8
2025-03-13,其他,174.31
2025-03-13,其他電子業,253.86
2025-03-13,勞工就業88指數,193.65
2025-03-13,化學工業,151.72
2025-03-13,半導體業,111.05
2025-03-13,富櫃200指數,9685.22
2025-03-13,富櫃50指數,275.62
2025-03-13,居家生活,94.63
2025-03-13,建材營造,269.89
2025-03-13,數位雲端,102.84
2025-03-13,文化創意業,272.76
2025-03-13,櫃買公司治理指數,205.11
2025-03-13,櫃買指數,249.3
2025-03-13,櫃買薪酬指數,136.77
2025-03-13,生技醫療,171.27
2025-03-13,紡織纖維,132.58
2025-03-13,綠能環保,102.66
2025-03-13,臺灣上櫃永續指數,7402.65
2025-03-13,航運業,192.58
2025-03-13,觀光餐旅,89.88
2025-03-13,資訊服務業,210.42
2025-03-13,通信網路業,151.78
2025-03-13,鋼鐵工業,175.84
2025-03-13,電子工業,402.32
2025-03-13,電子通路業,113.8
2025-03-13,電子零組件業,127.53
2025-03-13,電機機械,207.8
2025-03-13,電腦及週邊設備業,135.33
2025-03-13,高殖利率指數,217.23
2025-03-14,Quality 50指數,9289.5
2025-03-14,TPEx FactSet半導體氣候韌性指數,6763.16
2025-03-14,TPEx FactSet氣候韌性指數,6837.3
2025-03-14,上櫃ESG 30指數,6532.87
2025-03-14,光電業,82.05
2025-03-14,其他,174.62
2025-03-14,其他電子業,253.65
2025-03-14,勞工就業88指數,194.25
2025-03-14,化學工業,151.78
2025-03-14,半導體業,111.23
2025-03-14,富櫃200指數,9723.9
2025-03-14,富櫃50指數,276.5
2025-03-14,居家生活,94.61
2025-03-14,建材營造,266.83
2025-03-14,數位雲端,102.5
2025-03-14,文化創意業,271.52
2025-03-14,櫃買公司治理指數,205.75
2025-03-14,櫃買指數,249.96
2025-03-14,櫃買薪酬指數,136.87
2025-03-14,生技醫療,171.57
2025-03-14,紡織纖維,133.0
2025-03-14,綠能環保,102.99
2025-03-14,臺灣上櫃永續指數,7420.14
2025-03-14,航運業,194.76
2025-03-14,觀光餐旅,89.62
2025-03-14,資訊服務業,211.0
2025-03-14,通信網路業,154.02
2025-03-14,鋼鐵工業,176.6
2025-03-14,電子工業,404.19
2025-03-14,電子通路業,118.96
2025-03-14,電子零組件業,128.09
2025-03-14,電機機械,208.93
2025-03-14,電腦及週邊設備業,135.01
2025-03-14,高殖利率指數,217.99
2025-03-17,Quality 50指數,9296.37
2025-03-17,TPEx FactSet半導體氣候韌性指數,6773.3
2025-03-17,TPEx FactSet氣候韌性指數,6859.05
2025-03-17,上櫃ESG 30指數,6526.95
2025-03-17,光電業,82.67
2025-03-17,其他,176.59
2025-03-17,其他電子業,253.03
2025-03-17,勞工就業88指數,194.44
2025-03-17,化學工業,152.74
2025-03-17,半導體業,111.13
2025-03-17,富櫃200指數,9755.4
2025-03-17,富櫃50指數,276.56
2025-03-17,居家生活,93.46
2025-03-17,建材營造,267.54
2025-03-17,數位雲端,102.45
2025-03-17,文化創意業,272.4
2025-03-17,櫃買公司治理指數,205.61
2025-03-17,櫃買指數,250.78
2025-03-17,櫃買薪酬指數,136.92
2025-03-17,生技醫療,172.96
2025-03-17,紡織纖維,134.28
2025-03-17,綠能環保,103.38
2025-03-17,臺灣上櫃永續指數,7428.47
2025-03-17,航運業,194.28
2025-03-17,觀光餐旅,89.13
2025-03-17,資訊服務業,210.52
2025-03-17,通信網路業,157.44
2025-03-17,鋼鐵工業,175.71
2025-03-17,電子工業,405.37
2025-03-17,電子通路業,124.71
2025-03-17,電子零組件業,128.4
2025-03-17,電機機械,210.42
2025-03-17,電腦及週邊設備業,135.14
2025-03-17,高殖利率指數,217.62
2025-03-18,Quality 50指數,9481.65
2025-03-18,TPEx FactSet半導體氣候韌性指數,6865.12
2025-03-18,TPEx FactSet氣候韌性指數,6936.98
2025-03-18,上櫃ESG 30指數,6600.86
2025-03-18,光電業,83.86
2025-03-18,其他,179.5
2025-03-18,其他電子業,254.68
2025-03-18,勞工就業88指數,196.67
2025-03-18,化學工業,153.66
2025-03-18,半導體業,112.38
2025-03-18,富櫃200指數,9872.0
2025-03-18,富櫃50指數,281.06
2025-03-18,居家生活,94.25
2025-03-18,建材營造,268.05
2025-03-18,數位雲端,102.83
2025-03-18,文化創意業,283.74
2025-03-18,櫃買公司治理指數,208.32
2025-03-18,櫃買指數,253.3
2025-03-18,櫃買薪酬指數,138.53
2025-03-18,生技醫療,173.67
